ID Consumidor	Gênero	Estado civil	Pets	Bairro
168	F	Casado(a)	4	Mesquita
169	F	Casado(a)	1	Mesquita
170	F	Solteiro(a)	1	Belford Roxo
175	F	Solteiro(a)	1	Mesquita
177	F	Casado(a)	1	Mesquita
178	F	Solteiro(a)	1	Mesquita
179	F	Solteiro(a)	1	Belford Roxo
180	F	Solteiro(a)	4	Mesquita
181	F	Solteiro(a)	1	Nova Iguaçu
182	F	Casado(a)	1	Mesquita
187	F	Solteiro(a)	1	Mesquita
188	F	Casado(a)	4	Mesquita
190	F	Casado(a)	1	Mesquita
191	F	Solteiro(a)	4	Mesquita
192	F	Casado(a)	4	Nova Iguaçu
193	F	Solteiro(a)	1	Belford Roxo
194	F	Solteiro(a)	1	Belford Roxo
195	F	Solteiro(a)	4	Belford Roxo
197	F	Casado(a)	1	Nova Iguaçu
198	F	Casado(a)	1	Nova Iguaçu
208	F	Casado(a)	2	Mesquita
210	F	Casado(a)	1	Belford Roxo
211	F	Casado(a)	3	Belford Roxo
213	F	Solteiro(a)	3	Mesquita
216	F	Solteiro(a)	2	Mesquita
218	F	Solteiro(a)	2	Belford Roxo
221	F	Casado(a)	2	Mesquita
224	F	Casado(a)	3	Mesquita
225	F	Solteiro(a)	5	Nova Iguaçu
226	F	Solteiro(a)	2	Nova Iguaçu
227	F	Solteiro(a)	3	Mesquita
228	F	Casado(a)	3	Nova Iguaçu
229	F	Casado(a)	1	Mesquita
235	F	Casado(a)	2	Nova Iguaçu
238	F	Casado(a)	1	Nova Iguaçu
240	F	Casado(a)	2	Mesquita
242	F	Solteiro(a)	1	Mesquita
243	F	Solteiro(a)	1	Belford Roxo
244	F	Casado(a)	3	Belford Roxo
248	F	Solteiro(a)	1	Belford Roxo
250	F	Solteiro(a)	1	Nova Iguaçu
257	F	Casado(a)	3	Nova Iguaçu
260	F	Casado(a)	5	Nova Iguaçu
262	F	Solteiro(a)	4	Belford Roxo
264	F	Solteiro(a)	1	Mesquita
265	F	Solteiro(a)	4	Nova Iguaçu
268	F	Casado(a)	1	Belford Roxo
271	F	Solteiro(a)	2	Belford Roxo
272	F	Solteiro(a)	1	Nova Iguaçu
273	F	Solteiro(a)	1	Belford Roxo
274	F	Solteiro(a)	4	Mesquita
275	F	Casado(a)	2	Belford Roxo
280	F	Solteiro(a)	1	Mesquita
281	F	Solteiro(a)	1	Belford Roxo
282	F	Solteiro(a)	3	Nova Iguaçu
283	F	Solteiro(a)	3	Mesquita
286	F	Solteiro(a)	1	Mesquita
287	F	Casado(a)	1	Belford Roxo
291	F	Solteiro(a)	1	Belford Roxo
294	F	Solteiro(a)	1	Nova Iguaçu
296	F	Casado(a)	5	Belford Roxo
297	F	Casado(a)	5	Belford Roxo
298	F	Casado(a)	2	Belford Roxo
299	F	Casado(a)	1	Belford Roxo
301	F	Casado(a)	5	Nova Iguaçu
303	F	Casado(a)	1	Mesquita
304	F	Casado(a)	1	Mesquita
305	F	Solteiro(a)	4	Belford Roxo
309	F	Solteiro(a)	1	Mesquita
310	F	Solteiro(a)	1	Belford Roxo
312	F	Casado(a)	3	Mesquita
317	F	Casado(a)	1	Mesquita
319	F	Casado(a)	1	Mesquita
321	F	Solteiro(a)	2	Belford Roxo
322	F	Solteiro(a)	1	Nova Iguaçu
323	F	Casado(a)	4	Nova Iguaçu
328	F	Solteiro(a)	3	Nova Iguaçu
329	F	Solteiro(a)	2	Mesquita
330	F	Solteiro(a)	1	Belford Roxo
335	F	Solteiro(a)	5	Mesquita
336	F	Casado(a)	3	Belford Roxo
337	F	Casado(a)	1	Mesquita
338	F	Casado(a)	3	Mesquita
339	F	Solteiro(a)	2	Belford Roxo
340	F	Casado(a)	2	Mesquita
341	F	Casado(a)	1	Mesquita
344	F	Solteiro(a)	1	Belford Roxo
345	F	Casado(a)	2	Belford Roxo
346	F	Casado(a)	1	Mesquita
347	F	Solteiro(a)	4	Mesquita
349	F	Solteiro(a)	1	Mesquita
352	F	Casado(a)	1	Nova Iguaçu
354	F	Casado(a)	2	Mesquita
355	F	Solteiro(a)	1	Nova Iguaçu
360	F	Casado(a)	4	Nova Iguaçu
361	F	Solteiro(a)	1	Nova Iguaçu
363	F	Casado(a)	4	Mesquita
364	F	Casado(a)	4	Mesquita
365	F	Solteiro(a)	2	Mesquita
366	F	Solteiro(a)	2	Nova Iguaçu
369	F	Casado(a)	1	Mesquita
370	F	Casado(a)	2	Mesquita
372	F	Casado(a)	1	Mesquita
373	F	Solteiro(a)	2	Mesquita
376	F	Solteiro(a)	2	Nova Iguaçu
378	F	Solteiro(a)	1	Nova Iguaçu
381	F	Casado(a)	4	Mesquita
382	F	Casado(a)	4	Belford Roxo
389	F	Casado(a)	1	Belford Roxo
391	F	Solteiro(a)	4	Belford Roxo
392	F	Casado(a)	1	Mesquita
394	F	Solteiro(a)	2	Mesquita
395	F	Casado(a)	4	Nova Iguaçu
397	F	Casado(a)	2	Belford Roxo
398	F	Solteiro(a)	1	Mesquita
399	F	Casado(a)	3	Belford Roxo
400	F	Casado(a)	1	Mesquita
402	F	Solteiro(a)	1	Mesquita
405	F	Solteiro(a)	3	Mesquita
406	F	Solteiro(a)	1	Mesquita
409	F	Casado(a)	1	Nova Iguaçu
411	F	Casado(a)	1	Mesquita
414	F	Casado(a)	3	Belford Roxo
415	F	Solteiro(a)	4	Belford Roxo
417	F	Solteiro(a)	1	Mesquita
422	F	Casado(a)	2	Mesquita
423	F	Solteiro(a)	5	Belford Roxo
426	F	Casado(a)	4	Mesquita
430	F	Solteiro(a)	3	Nova Iguaçu
432	F	Casado(a)	4	Mesquita
436	F	Casado(a)	1	Belford Roxo
438	F	Casado(a)	2	Belford Roxo
439	F	Casado(a)	3	Mesquita
440	F	Casado(a)	5	Mesquita
441	F	Casado(a)	5	Mesquita
443	F	Solteiro(a)	1	Mesquita
446	F	Solteiro(a)	2	Mesquita
447	F	Solteiro(a)	1	Belford Roxo
448	F	Casado(a)	1	Mesquita
450	F	Solteiro(a)	3	Belford Roxo
451	F	Casado(a)	1	Belford Roxo
453	F	Casado(a)	3	Nova Iguaçu
454	F	Solteiro(a)	3	Mesquita
457	F	Solteiro(a)	1	Belford Roxo
462	F	Solteiro(a)	2	Mesquita
463	F	Solteiro(a)	3	Mesquita
464	F	Solteiro(a)	3	Mesquita
465	F	Solteiro(a)	3	Mesquita
466	F	Casado(a)	4	Belford Roxo
467	F	Solteiro(a)	1	Mesquita
468	F	Casado(a)	2	Mesquita
471	F	Solteiro(a)	3	Nova Iguaçu
472	F	Casado(a)	1	Mesquita
473	F	Casado(a)	3	Nova Iguaçu
474	F	Casado(a)	1	Belford Roxo
476	F	Solteiro(a)	1	Mesquita
478	F	Casado(a)	5	Nova Iguaçu
480	F	Casado(a)	3	Mesquita
481	F	Casado(a)	2	Nova Iguaçu
482	F	Solteiro(a)	4	Nova Iguaçu
484	F	Casado(a)	3	Mesquita
486	F	Casado(a)	2	Belford Roxo
487	F	Solteiro(a)	4	Belford Roxo
489	F	Casado(a)	2	Mesquita
491	F	Casado(a)	2	Mesquita
492	F	Casado(a)	1	Mesquita
493	F	Casado(a)	5	Mesquita
494	F	Solteiro(a)	1	Belford Roxo
497	F	Solteiro(a)	4	Mesquita
498	F	Solteiro(a)	1	Belford Roxo
499	F	Solteiro(a)	1	Nova Iguaçu
502	F	Solteiro(a)	3	Mesquita
504	F	Solteiro(a)	4	Mesquita
506	F	Solteiro(a)	3	Belford Roxo
510	F	Solteiro(a)	1	Mesquita
511	F	Casado(a)	4	Nova Iguaçu
518	F	Casado(a)	3	Belford Roxo
521	F	Casado(a)	1	Nova Iguaçu
524	F	Solteiro(a)	2	Mesquita
526	F	Casado(a)	2	Nova Iguaçu
529	F	Solteiro(a)	4	Nova Iguaçu
533	F	Casado(a)	1	Mesquita
534	F	Casado(a)	3	Mesquita
537	F	Casado(a)	3	Mesquita
538	F	Solteiro(a)	5	Nova Iguaçu
540	F	Solteiro(a)	4	Belford Roxo
541	F	Solteiro(a)	1	Nova Iguaçu
542	F	Casado(a)	3	Belford Roxo
543	F	Casado(a)	3	Mesquita
545	F	Solteiro(a)	3	Mesquita
546	F	Solteiro(a)	3	Mesquita
547	F	Solteiro(a)	1	Nova Iguaçu
551	F	Solteiro(a)	2	Mesquita
552	F	Solteiro(a)	4	Nova Iguaçu
553	F	Casado(a)	1	Belford Roxo
554	F	Solteiro(a)	2	Mesquita
563	F	Solteiro(a)	4	Mesquita
564	F	Casado(a)	3	Nova Iguaçu
565	F	Solteiro(a)	4	Mesquita
566	F	Solteiro(a)	5	Mesquita
567	F	Solteiro(a)	1	Belford Roxo
568	F	Solteiro(a)	1	Mesquita
569	F	Solteiro(a)	1	Mesquita
570	F	Solteiro(a)	1	Mesquita
571	F	Solteiro(a)	1	Nova Iguaçu
572	F	Casado(a)	3	Mesquita
573	F	Solteiro(a)	2	Nova Iguaçu
574	F	Solteiro(a)	2	Nova Iguaçu
581	F	Solteiro(a)	1	Nova Iguaçu
587	F	Casado(a)	2	Mesquita
588	F	Casado(a)	4	Mesquita
591	F	Solteiro(a)	3	Nova Iguaçu
593	F	Casado(a)	3	Mesquita
594	F	Solteiro(a)	1	Mesquita
595	F	Solteiro(a)	4	Nova Iguaçu
597	F	Solteiro(a)	4	Nova Iguaçu
598	F	Casado(a)	1	Belford Roxo
601	F	Solteiro(a)	4	Belford Roxo
602	F	Solteiro(a)	3	Mesquita
603	F	Casado(a)	1	Nova Iguaçu
604	F	Solteiro(a)	2	Mesquita
606	F	Solteiro(a)	4	Belford Roxo
612	F	Casado(a)	3	Mesquita
614	F	Casado(a)	2	Mesquita
615	F	Casado(a)	4	Mesquita
617	F	Solteiro(a)	3	Mesquita
618	F	Casado(a)	1	Nova Iguaçu
619	F	Casado(a)	2	Mesquita
621	F	Casado(a)	2	Nova Iguaçu
622	F	Solteiro(a)	2	Mesquita
624	F	Solteiro(a)	3	Mesquita
625	F	Solteiro(a)	1	Mesquita
629	F	Casado(a)	4	Nova Iguaçu
630	F	Solteiro(a)	4	Nova Iguaçu
632	F	Casado(a)	2	Belford Roxo
633	F	Casado(a)	2	Belford Roxo
636	F	Solteiro(a)	1	Mesquita
638	F	Casado(a)	3	Nova Iguaçu
639	F	Casado(a)	2	Mesquita
644	F	Casado(a)	4	Mesquita
645	F	Solteiro(a)	1	Nova Iguaçu
647	F	Casado(a)	5	Nova Iguaçu
649	F	Casado(a)	3	Mesquita
652	F	Solteiro(a)	3	Belford Roxo
654	F	Casado(a)	3	Nova Iguaçu
655	F	Casado(a)	1	Mesquita
658	F	Solteiro(a)	3	Mesquita
662	F	Casado(a)	3	Nova Iguaçu
663	F	Solteiro(a)	3	Nova Iguaçu
664	F	Solteiro(a)	2	Mesquita
665	F	Solteiro(a)	4	Belford Roxo
669	F	Solteiro(a)	2	Mesquita
670	F	Solteiro(a)	4	Mesquita
673	F	Casado(a)	1	Nova Iguaçu
676	F	Solteiro(a)	5	Mesquita
680	F	Casado(a)	3	Mesquita
681	F	Solteiro(a)	4	Nova Iguaçu
682	F	Solteiro(a)	2	Belford Roxo
683	F	Casado(a)	1	Mesquita
689	F	Solteiro(a)	4	Nova Iguaçu
690	F	Solteiro(a)	5	Nova Iguaçu
697	F	Casado(a)	2	Mesquita
698	F	Casado(a)	1	Mesquita
704	F	Casado(a)	1	Mesquita
711	F	Casado(a)	2	Mesquita
717	F	Solteiro(a)	4	Belford Roxo
719	F	Casado(a)	1	Mesquita
724	F	Solteiro(a)	2	Belford Roxo
726	F	Solteiro(a)	4	Mesquita
727	F	Casado(a)	3	Belford Roxo
728	F	Casado(a)	5	Belford Roxo
729	F	Solteiro(a)	3	Nova Iguaçu
731	F	Casado(a)	1	Mesquita
732	F	Solteiro(a)	5	Belford Roxo
733	F	Solteiro(a)	1	Nova Iguaçu
734	F	Solteiro(a)	3	Belford Roxo
736	F	Solteiro(a)	1	Mesquita
739	F	Casado(a)	4	Mesquita
740	F	Solteiro(a)	5	Nova Iguaçu
741	F	Casado(a)	2	Nova Iguaçu
742	F	Casado(a)	4	Mesquita
745	F	Casado(a)	5	Mesquita
746	F	Solteiro(a)	1	Mesquita
747	F	Casado(a)	4	Nova Iguaçu
749	F	Solteiro(a)	2	Belford Roxo
750	F	Solteiro(a)	3	Mesquita
751	F	Solteiro(a)	3	Mesquita
753	F	Solteiro(a)	1	Nova Iguaçu
754	F	Solteiro(a)	3	Nova Iguaçu
755	F	Solteiro(a)	3	Mesquita
757	F	Solteiro(a)	4	Mesquita
758	F	Solteiro(a)	4	Mesquita
759	F	Casado(a)	1	Belford Roxo
760	F	Solteiro(a)	1	Nova Iguaçu
766	F	Casado(a)	4	Mesquita
767	F	Solteiro(a)	2	Mesquita
769	F	Solteiro(a)	4	Nova Iguaçu
770	F	Solteiro(a)	3	Mesquita
771	F	Solteiro(a)	3	Mesquita
774	F	Casado(a)	1	Mesquita
779	F	Casado(a)	2	Mesquita
780	F	Solteiro(a)	5	Mesquita
781	F	Casado(a)	2	Nova Iguaçu
782	F	Casado(a)	5	Mesquita
783	F	Solteiro(a)	1	Nova Iguaçu
786	F	Solteiro(a)	1	Mesquita
788	F	Casado(a)	5	Mesquita
789	F	Casado(a)	4	Nova Iguaçu
790	F	Solteiro(a)	2	Mesquita
792	F	Solteiro(a)	3	Mesquita
796	F	Solteiro(a)	4	Nova Iguaçu
799	F	Casado(a)	2	Belford Roxo
803	F	Solteiro(a)	2	Mesquita
804	F	Casado(a)	2	Mesquita
806	F	Casado(a)	2	Mesquita
808	F	Solteiro(a)	1	Mesquita
810	F	Casado(a)	3	Belford Roxo
815	F	Casado(a)	3	Mesquita
816	F	Casado(a)	4	Belford Roxo
817	F	Solteiro(a)	2	Mesquita
818	F	Casado(a)	2	Mesquita
819	F	Solteiro(a)	2	Mesquita
820	F	Solteiro(a)	5	Nova Iguaçu
822	F	Solteiro(a)	2	Belford Roxo
823	F	Solteiro(a)	3	Nova Iguaçu
824	F	Solteiro(a)	3	Belford Roxo
826	F	Casado(a)	3	Mesquita
827	F	Solteiro(a)	1	Nova Iguaçu
828	F	Casado(a)	1	Mesquita
831	F	Casado(a)	2	Mesquita
834	F	Solteiro(a)	2	Nova Iguaçu
837	F	Solteiro(a)	4	Nova Iguaçu
838	F	Solteiro(a)	4	Mesquita
839	F	Solteiro(a)	3	Mesquita
841	F	Casado(a)	1	Mesquita
843	F	Solteiro(a)	1	Mesquita
847	F	Casado(a)	4	Mesquita
850	F	Casado(a)	2	Nova Iguaçu
852	F	Solteiro(a)	2	Mesquita
856	F	Casado(a)	5	Nova Iguaçu
857	F	Solteiro(a)	4	Mesquita
863	F	Casado(a)	5	Mesquita
864	F	Solteiro(a)	3	Nova Iguaçu
866	F	Casado(a)	4	Belford Roxo
867	F	Solteiro(a)	1	Belford Roxo
868	F	Solteiro(a)	5	Belford Roxo
869	F	Solteiro(a)	2	Mesquita
870	F	Solteiro(a)	3	Nova Iguaçu
872	F	Casado(a)	3	Mesquita
873	F	Casado(a)	4	Nova Iguaçu
874	F	Casado(a)	1	Belford Roxo
875	F	Solteiro(a)	4	Belford Roxo
876	F	Casado(a)	5	Belford Roxo
878	F	Solteiro(a)	1	Nova Iguaçu
879	F	Casado(a)	5	Mesquita
880	M	Solteiro(a)	1	Nova Iguaçu
886	M	Casado(a)	4	Mesquita
887	F	Solteiro(a)	5	Mesquita
893	F	Casado(a)	3	Mesquita
895	F	Solteiro(a)	5	Belford Roxo
896	F	Casado(a)	5	Belford Roxo
897	M	Solteiro(a)	1	Belford Roxo
898	F	Casado(a)	1	Belford Roxo
900	F	Solteiro(a)	1	Nova Iguaçu
901	M	Solteiro(a)	2	Mesquita
904	M	Casado(a)	4	Belford Roxo
905	M	Solteiro(a)	4	Nova Iguaçu
906	M	Casado(a)	1	Nova Iguaçu
907	F	Casado(a)	3	Belford Roxo
908	F	Solteiro(a)	4	Nova Iguaçu
909	F	Solteiro(a)	1	Mesquita
910	M	Solteiro(a)	1	Mesquita
911	M	Solteiro(a)	2	Belford Roxo
913	M	Casado(a)	2	Mesquita
916	M	Solteiro(a)	3	Mesquita
917	M	Casado(a)	2	Mesquita
918	M	Casado(a)	1	Nova Iguaçu
919	M	Casado(a)	5	Mesquita
921	M	Solteiro(a)	5	Mesquita
922	M	Solteiro(a)	4	Belford Roxo
924	M	Casado(a)	5	Nova Iguaçu
925	M	Solteiro(a)	1	Belford Roxo
927	M	Casado(a)	3	Belford Roxo
930	F	Casado(a)	2	Mesquita
933	M	Solteiro(a)	2	Belford Roxo
934	F	Solteiro(a)	1	Mesquita
937	F	Casado(a)	4	Belford Roxo
938	M	Casado(a)	4	Mesquita
941	M	Solteiro(a)	1	Mesquita
943	F	Solteiro(a)	2	Belford Roxo
944	F	Casado(a)	3	Mesquita
948	M	Solteiro(a)	5	Mesquita
950	M	Solteiro(a)	4	Mesquita
952	M	Casado(a)	2	Belford Roxo
955	F	Casado(a)	3	Mesquita
958	M	Casado(a)	4	Nova Iguaçu
959	M	Solteiro(a)	1	Belford Roxo
962	M	Casado(a)	2	Mesquita
965	F	Casado(a)	2	Mesquita
967	F	Solteiro(a)	1	Mesquita
968	F	Casado(a)	1	Mesquita
970	F	Solteiro(a)	1	Mesquita
971	F	Casado(a)	3	Mesquita
972	M	Solteiro(a)	4	Mesquita
974	F	Casado(a)	4	Belford Roxo
975	F	Solteiro(a)	1	Belford Roxo
976	F	Casado(a)	5	Nova Iguaçu
978	M	Casado(a)	3	Mesquita
979	F	Solteiro(a)	1	Mesquita
981	M	Solteiro(a)	1	Nova Iguaçu
983	F	Solteiro(a)	2	Nova Iguaçu
985	F	Casado(a)	2	Nova Iguaçu
988	F	Casado(a)	2	Mesquita
991	F	Casado(a)	1	Nova Iguaçu
992	F	Solteiro(a)	3	Mesquita
993	M	Casado(a)	3	Mesquita
994	M	Solteiro(a)	5	Mesquita
995	M	Casado(a)	1	Mesquita
996	M	Solteiro(a)	2	Mesquita
997	F	Solteiro(a)	4	Nova Iguaçu
1002	F	Casado(a)	2	Mesquita
1003	M	Casado(a)	3	Mesquita
1004	F	Casado(a)	3	Mesquita
1005	M	Solteiro(a)	2	Nova Iguaçu
1013	F	Casado(a)	2	Mesquita
1014	F	Casado(a)	2	Mesquita
1015	M	Casado(a)	4	Mesquita
1017	F	Casado(a)	4	Belford Roxo
1022	M	Casado(a)	3	Belford Roxo
1023	M	Casado(a)	1	Mesquita
1024	F	Casado(a)	1	Mesquita
1025	M	Casado(a)	2	Belford Roxo
1026	M	Solteiro(a)	1	Mesquita
1031	F	Casado(a)	2	Belford Roxo
1032	F	Casado(a)	2	Mesquita
1035	M	Casado(a)	1	Mesquita
1036	F	Solteiro(a)	3	Mesquita
1037	M	Solteiro(a)	5	Belford Roxo
1038	F	Casado(a)	3	Mesquita
1041	M	Solteiro(a)	4	Nova Iguaçu
1042	F	Casado(a)	1	Nova Iguaçu
1044	F	Solteiro(a)	1	Nova Iguaçu
1048	M	Solteiro(a)	4	Mesquita
1049	F	Casado(a)	4	Nova Iguaçu
1050	F	Solteiro(a)	1	Belford Roxo
1051	F	Solteiro(a)	1	Belford Roxo
1052	F	Casado(a)	1	Mesquita
1053	F	Solteiro(a)	1	Mesquita
1055	M	Casado(a)	1	Mesquita
1056	F	Casado(a)	2	Mesquita
1057	F	Casado(a)	2	Mesquita
1058	F	Solteiro(a)	2	Mesquita
1059	M	Solteiro(a)	4	Belford Roxo
1062	F	Casado(a)	4	Mesquita
1066	M	Casado(a)	1	Mesquita
1067	M	Solteiro(a)	2	Belford Roxo
1068	M	Casado(a)	1	Belford Roxo
1070	F	Solteiro(a)	2	Nova Iguaçu
1071	M	Solteiro(a)	1	Mesquita
1073	M	Solteiro(a)	5	Mesquita
1074	M	Solteiro(a)	1	Mesquita
1076	F	Casado(a)	4	Mesquita
1079	F	Casado(a)	2	Mesquita
1082	F	Casado(a)	3	Mesquita
1083	M	Casado(a)	5	Nova Iguaçu
1084	M	Casado(a)	2	Nova Iguaçu
1085	F	Solteiro(a)	4	Belford Roxo
1089	M	Solteiro(a)	3	Mesquita
1090	M	Solteiro(a)	1	Mesquita
1091	F	Solteiro(a)	1	Mesquita
1092	M	Casado(a)	3	Belford Roxo
1093	F	Solteiro(a)	3	Mesquita
1094	F	Casado(a)	3	Mesquita
1097	M	Solteiro(a)	1	Mesquita
1101	M	Casado(a)	3	Belford Roxo
1102	F	Casado(a)	2	Mesquita
1103	F	Casado(a)	4	Nova Iguaçu
1107	M	Solteiro(a)	1	Mesquita
1109	F	Solteiro(a)	5	Belford Roxo
1110	M	Casado(a)	2	Mesquita
1111	M	Casado(a)	1	Mesquita
1112	M	Casado(a)	4	Nova Iguaçu
1113	M	Casado(a)	1	Mesquita
1114	M	Casado(a)	4	Nova Iguaçu
1115	F	Solteiro(a)	3	Mesquita
1116	M	Solteiro(a)	4	Belford Roxo
1117	M	Solteiro(a)	5	Mesquita
1119	F	Casado(a)	2	Belford Roxo
1124	M	Solteiro(a)	3	Nova Iguaçu
1125	F	Casado(a)	1	Mesquita
1127	M	Solteiro(a)	5	Belford Roxo
1128	F	Solteiro(a)	1	Mesquita
1130	M	Solteiro(a)	5	Mesquita
1131	M	Solteiro(a)	1	Mesquita
1132	F	Casado(a)	2	Nova Iguaçu
1133	F	Solteiro(a)	3	Mesquita
1135	F	Casado(a)	2	Belford Roxo
1138	M	Casado(a)	2	Belford Roxo
1140	M	Casado(a)	1	Mesquita
1141	M	Solteiro(a)	3	Nova Iguaçu
1144	M	Casado(a)	1	Belford Roxo
1145	F	Solteiro(a)	1	Mesquita
1146	F	Casado(a)	5	Nova Iguaçu
1147	F	Solteiro(a)	3	Mesquita
1152	M	Casado(a)	4	Mesquita
1153	M	Solteiro(a)	1	Mesquita
1154	F	Solteiro(a)	5	Mesquita
1157	M	Casado(a)	1	Nova Iguaçu
1159	F	Solteiro(a)	2	Nova Iguaçu
1161	M	Solteiro(a)	5	Mesquita
1162	M	Casado(a)	2	Belford Roxo
1164	F	Solteiro(a)	1	Mesquita
1166	M	Solteiro(a)	1	Mesquita
1167	M	Casado(a)	3	Belford Roxo
1168	F	Casado(a)	1	Mesquita
1169	M	Casado(a)	1	Belford Roxo
1170	F	Solteiro(a)	5	Nova Iguaçu
1171	F	Solteiro(a)	2	Belford Roxo
1172	M	Casado(a)	3	Mesquita
1173	M	Solteiro(a)	2	Mesquita
1174	M	Solteiro(a)	5	Mesquita
1175	F	Casado(a)	4	Mesquita
1177	F	Solteiro(a)	1	Mesquita
1178	M	Solteiro(a)	4	Nova Iguaçu
1180	M	Casado(a)	5	Belford Roxo
1183	M	Solteiro(a)	3	Mesquita
1184	M	Solteiro(a)	5	Mesquita
1185	M	Casado(a)	4	Mesquita
1187	M	Solteiro(a)	2	Mesquita
1189	M	Solteiro(a)	3	Mesquita
1190	F	Solteiro(a)	5	Belford Roxo
1191	M	Solteiro(a)	2	Nova Iguaçu
1192	M	Casado(a)	4	Mesquita
1193	F	Solteiro(a)	1	Mesquita
1194	F	Solteiro(a)	1	Nova Iguaçu
1195	F	Solteiro(a)	5	Nova Iguaçu
1196	M	Solteiro(a)	1	Mesquita
1197	M	Solteiro(a)	1	Mesquita
1201	M	Casado(a)	1	Nova Iguaçu
1202	M	Casado(a)	1	Nova Iguaçu
1203	M	Casado(a)	2	Mesquita
1204	F	Casado(a)	4	Nova Iguaçu
1205	F	Casado(a)	1	Mesquita
1207	M	Solteiro(a)	2	Mesquita
1209	M	Casado(a)	3	Nova Iguaçu
1212	M	Casado(a)	3	Mesquita
1214	M	Casado(a)	3	Nova Iguaçu
1215	M	Solteiro(a)	1	Mesquita
1216	M	Solteiro(a)	1	Mesquita
1217	F	Solteiro(a)	3	Belford Roxo
1221	F	Casado(a)	1	Mesquita
1222	M	Casado(a)	3	Nova Iguaçu
1224	M	Casado(a)	3	Nova Iguaçu
1228	M	Solteiro(a)	3	Belford Roxo
1232	M	Casado(a)	2	Mesquita
1234	F	Casado(a)	1	Belford Roxo
1235	M	Solteiro(a)	2	Nova Iguaçu
1236	M	Solteiro(a)	3	Belford Roxo
1237	M	Casado(a)	2	Mesquita
1240	F	Casado(a)	2	Mesquita
1241	M	Solteiro(a)	5	Nova Iguaçu
1244	F	Casado(a)	1	Nova Iguaçu
1245	F	Solteiro(a)	2	Mesquita
1249	F	Solteiro(a)	2	Mesquita
1253	M	Solteiro(a)	4	Mesquita
1254	F	Casado(a)	1	Mesquita
